24.912	21.779
0.169	3523.347
0.093	9.372
0.089	0.147
0.088	0.098
0.089	0.081
0.088	0.079
0.089	0.079
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.087	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.087	0.078
0.090	0.078
0.088	0.078
0.088	0.078
0.087	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.087	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.089	0.078
0.087	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.087	0.078
0.088	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.087	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.087	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.087	0.078
0.089	0.078
0.087	0.078
0.089	0.078
0.089	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.088	0.078
0.089	0.078
0.087	0.078
0.089	0.078
0.088	0.078
0.088	0.078
0.089	0.077
0.088	0.077
0.088	0.078
0.088	0.077
0.088	0.077
0.088	0.077
0.087	0.079
0.087	0.078
0.087	0.076
0.086	0.077
0.085	0.076
0.086	0.075
0.084	0.074
0.083	0.074
0.084	0.075
0.081	0.070
0.080	0.075
0.079	0.077
0.077	0.066
0.073	0.067
0.071	0.068
0.067	0.066
0.063	0.063
0.059	0.054
0.057	0.061
0.055	0.057
0.054	0.058
0.052	0.057
0.053	0.055
0.050	0.051
